ID,NAME,LAT,LNG,DESCRIPTION,IMAGE,USER
1,Place1,9.39941,-84.72156,Description1,6,1
2,Place2,9.79026,37.27589,Description2,5,1
3,Place3,-21.91917,43.29513,Description3,5,1
4,Place4,-11.41361,8.97325,Description4,5,1
5,Place5,20.48735,-46.56001,Description5,5,1
6,Place6,-15.78199,126.23613,Description6,10,1
7,Place7,17.90299,-33.79937,Description7,5,1
8,Place8,26.43087,46.43288,Description8,5,1
9,Place9,19.65686,156.72363,Description9,6,1
10,Place10,-2.73253,-106.11214,Description10,6,1
11,Place11,27.71635,31.6384,Description11,6,1
12,Place12,12.20392,-18.84948,Description12,5,2
13,Place13,19.93635,-131.47607,Description13,5,2
14,Place14,-3.42858,-171.19057,Description14,,2
15,Place15,-76.09574,-97.3512,Description15,10,2
16,Place16,38.59296,158.43741,Description16,,2
17,Place17,50.23544,162.29284,Description17,9,2
18,Place18,-1.54949,-92.43382,Description18,10,2
19,Place19,51.76371,-104.06931,Description19,6,2
20,Place20,-43.03321,27.70954,Description20,9,2
21,Place21,-5.48102,84.1288,Description21,,2
22,Place22,-16.40067,78.01399,Description22,,2
23,Place23,48.43012,-115.96577,Description23,6,2
24,Place24,47.06261,-137.06124,Description24,10,2
25,Place25,-18.4651,160.2565,Description25,,2
26,Place26,29.97191,-26.50471,Description26,6,2
27,Place27,-23.9337,-122.83253,Description27,,2
28,Place28,2.33468,141.896,Description28,10,2
29,Place29,7.20146,148.48658,Description29,6,2
30,Place30,78.91005,-7.91825,Description30,6,2
31,Place31,-28.8555,-159.25724,Description31,,2
32,Place32,-50.05224,-179.61735,Description32,,2
33,Place33,-25.46791,-41.28516,Description33,6,2
34,Place34,-74.7392,-119.53611,Description34,,2
35,Place35,-4.04016,-58.75494,Description35,,2
36,Place36,-48.91387,-97.53349,Description36,10,2
37,Place37,-71.70361,-58.30626,Description37,10,2
38,Place38,-22.42494,-19.47646,Description38,9,2
39,Place39,-7.62848,-84.10845,Description39,10,3
40,Place40,-49.65489,176.44533,Description40,6,3
41,Place41,0.2094,-3.1362,Description41,5,3
42,Place42,7.74761,-23.55609,Description42,5,3
43,Place43,-59.33244,-21.86926,Description43,5,3
44,Place44,48.94299,24.15518,Description44,9,3
45,Place45,-24.59621,98.22924,Description45,9,3
46,Place46,-4.93203,146.66555,Description46,10,3
47,Place47,-4.1117,121.06048,Description47,9,3
48,Place48,20.18114,94.70742,Description48,5,3
49,Place49,15.17451,-70.69764,Description49,,3
50,Place50,47.69332,122.43713,Description50,9,3
51,Place51,11.31996,-155.60211,Description51,10,3
52,Place52,19.74195,53.64693,Description52,10,3
53,Place53,-5.51996,101.84437,Description53,5,3
54,Place54,-53.3922,-123.94467,Description54,9,3
55,Place55,3.29344,-15.45355,Description55,6,3
56,Place56,8.86363,179.86075,Description56,9,3
57,Place57,-64.3424,-75.19771,Description57,,3
58,Place58,-69.26889,-145.87788,Description58,9,3
59,Place59,-33.31827,-134.17205,Description59,5,3
60,Place60,17.10534,29.62306,Description60,,3
